BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
02.01.2021;22:00;CET;03.01.2021;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;175;280;350;TransnetBW;Amprion;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
02.01.2021;23:15;CET;03.01.2021;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;40;70;30;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;VOELKLINGEN_MKV;Konventionell
03.01.2021;00:00;CET;03.01.2021;02:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;95;200;190;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NEURATH_D;Konventionell
03.01.2021;00:00;CET;03.01.2021;02:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;77;100;193;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NIEDERAUSSEM_C;Konventionell
03.01.2021;00:00;CET;03.01.2021;03:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;193;360;580;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NEURATH_E;Konventionell
03.01.2021;00:00;CET;03.01.2021;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;300;300;2100;TransnetBW;Amprion;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
03.01.2021;00:00;CET;03.01.2021;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;118,35;300;1361;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Grohnde;Konventionell
03.01.2021;00:00;CET;03.01.2021;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;123,51;239;1574,75;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
03.01.2021;00:00;CET;03.01.2021;23:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;63;95;720;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;VOELKLINGEN_MKV;Konventionell
03.01.2021;00:00;CET;04.01.2021;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;145,52;200;2182,75;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Grosskraftwerk Mannheim;Konventionell
03.01.2021;00:30;CET;03.01.2021;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;161,54;300;1050;TenneT DE;Amprion;Brokdorf;Konventionell
03.01.2021;01:30;CET;03.01.2021;02:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;60;70;30;Amprion;Amprion;NEURATH_D;Konventionell
03.01.2021;03:45;CET;03.01.2021;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;85,85;150;279;TenneT DE;Amprion;Grohnde;Konventionell
03.01.2021;05:00;CET;04.01.2021;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;280,45;300;5328,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Brokdorf;Konventionell
