mastr_id,Anzeigename,norm_name,Energietraeger,Nettonennleistung_MW,Postleitzahl,Ort
SEE900600559253,RADAG Wehrkraftwerk,radag wehrkraftwerk,Wasser,24.0,79804,Dogern
SEE900838448145,MKW SAD Turbine 3,mkw sad turbine 3,Abfall,10.0,92421,Schwandorf
SEE901246020381,Gasmotor Bad Salzungen,gasmotor bad salzungen,Erdgas,10.003,36433,Bad Salzungen
SEE901752522324,Rheinhafen-Dampfkraftwerk RDK 8 Wasserturbine,rheinhafen-dampfkraftwerk rdk 8 wasserturbine,Wasser,1.8,76189,Karlsruhe
SEE905721866655,Fab Frechen,fab frechen,Braunkohle,56.0,50226,Frechen
SEE915137840866,BHKW Hastedt Motor 05,bhkw hastedt motor 05,Erdgas,11.6794,28207,Bremen
SEE900040609433,SSW-NT,ssw-nt,Steinkohle,6.14,59821,Arnsberg
SEE901022774309,illwerke vkw Lünerseewerk M4,illwerke vkw lünerseewerk m4,Pumpspeicher,56.0,A-6774,Tschagguns
SEE901401382521,Tiefstack HKW 16bar-Turbine,tiefstack hkw 16bar-turbine,Waerme,4.9,22113,Hamburg
SEE902114639810,Bitterfeld BHKW,bitterfeld bhkw,Erdgas,2.0,06749,Bitterfeld-Wolfen
SEE909886576275,Weisweiler G VGT,weisweiler g vgt,Erdgas,200.0,52249,Eschweiler
SEE911630335144,BHKW 4,bhkw 4,Biomasse,1.027,25491,Hetlingen
SEE912257091857,Turbine 7,turbine 7,Abfall,46.5,60439,Frankfurt
SEE913609763316,Generator 1 Erdgas,generator 1 erdgas,Erdgas,7.0,65203,Wiesbaden
SEE907703023742,IKW Batteriespeicher,ikw batteriespeicher,Batteriespeicher,1.08,15890,Eisenhüttenstadt
SEE916115669219,Küstenkraftwerk K.I.E.L Motor 11,küstenkraftwerk k i e l motor 11,Erdgas,9.456,24149,Kiel
SEE916609233650,DT Niehl 2 RheinEnergie,dt niehl 2 rheinenergie,Waerme,147.0,50735,Köln
SEE901196452256,Turbine 4,turbine 4,Erdgas,6.71,55246,Mainz-Kostheim
SEE906231810480,GT1,gt1,Erdgas,5.538,21107,Hamburg
SEE906385906152,W065-Gebäude 120 / BHKW Modul 04,w065-gebäude 120 bhkw modul 04,Erdgas,4.2,40476,Düsseldorf
SEE903779951637,"Motor-Heizkraftwerk Chemnitz-Süd, Motor 5",motor-heizkraftwerk chemnitz-süd motor 5,Erdgas,12.7314,09125,Chemnitz
SEE903937301069,HKW Karcherstraße (GT4),hkw karcherstraße,Erdgas,5.0,67655,Kaiserslautern
SEE903983424590,Kraftwerk Knapsack II,kraftwerk knapsack ii,Erdgas,430.0,50354,Hürth
SEE904924198341,BioHKW II,biohkw ii,Biomasse,4.442,89077,Ulm
SEE912224455828,"Motor-Heizkraftwerk Chemnitz-Süd, Motor 2",motor-heizkraftwerk chemnitz-süd motor 2,Erdgas,12.7314,09125,Chemnitz
SEE915851127786,BHKW Schwarzer Weg,bhkw schwarzer weg,Erdgas,21.505,52070,Aachen
SEE900549498521,HKW FFO GM4,hkw ffo gm4,Erdgas,10.3584,15236,Frankfurt
SEE901440918859,RADAG M1,radag m1,Wasser,27.94,79774,Albbruck
SEE904165703137,GT1,gt1,Erdgas,51.35,01987,Schwarzheide
SEE914414538991,GuD Mitte GT12,gud mitte gt12,Erdgas,204.0,67063,Ludwigshafen
SEE907524301289,T/G 15,t g 15,Mineraloelprodukte,10.0,46147,Oberhausen
SEE910562646632,Motor 2,motor 2,Biomasse,1.048,28870,Ottersberg
SEE901516014812,Dampfturbine 1,dampfturbine 1,Erdgas,2.64,37412,Herzberg
SEE904076796426,Küstenkraftwerk K.I.E.L Motor 4,küstenkraftwerk k i e l motor 4,Erdgas,9.456,24149,Kiel
SEE905939296770,Küstenkraftwerk K.I.E.L Motor 13,küstenkraftwerk k i e l motor 13,Erdgas,9.456,24149,Kiel
SEE908658611688,HuR-IKW-G4,hur-ikw-g4,Erdgas,6.02,48499,Salzbergen
SEE913795928759,SMAREG9 Freiberg,smareg9 freiberg,Batteriespeicher,20.0,09599,Freiberg
SEE914179988338,Turbine 6,turbine 6,Abfall,2.55,31789,Hameln
SEE914845982691,BESS Waltershausen,bess waltershausen,Batteriespeicher,10.35,99880,Waltershausen
SEE900348277440,BHKW Hafen - Modul 4,bhkw hafen - modul 4,Erdgas,2.173,59067,Hamm
