betroffene_anlage,entry_type,primaerenergieart,max_dispatched_mw,rank,score,cand_id,cand_name,cand_fueltype,cand_capacity,cand_lat,cand_lon
EnBW Trading GmbH,individual,Sonstiges,190.0,1,60.0,3297,Jena,Natural Gas,241.875,50.8965754,11.58634
EnBW Trading GmbH,individual,Sonstiges,190.0,2,60.0,8668,Lingen,Nuclear,268.0,52.4831,7.3005
EnBW Trading GmbH,individual,Sonstiges,190.0,3,54.5,699,Staudinger,Hard Coal,522.0,50.088056,8.952222
EnBW Trading GmbH,individual,Sonstiges,190.0,4,54.5,1130,Staudinger,Natural Gas,580.0,50.088056,8.952222
EnBW Trading GmbH,individual,Sonstiges,190.0,5,54.4,261,Trianel Kohlekraftwerk Lunen,Hard Coal,746.0,51.612,7.464
EnBW Trading GmbH,individual,Sonstiges,190.0,6,54.0,257,Zolling,Hard Coal,472.0,48.455489,11.796122
EnBW Trading GmbH,individual,Sonstiges,190.0,7,54.0,2568,Mainz,Natural Gas,869.0,50.0264,8.2379
EnBW Trading GmbH,individual,Sonstiges,190.0,8,54.0,23136,Stade,Nuclear,672.0,53.6197,9.5308
EnBW Trading GmbH,individual,Sonstiges,190.0,9,53.8,61237,Enbw He Dreiht,Wind,960.0,54.367431937499994,6.185254984375
EnBW Trading GmbH,individual,Sonstiges,190.0,10,52.5,8644,Gaskraftwerk Landesbergen Gasturbine,Natural Gas,487.0,52.54612,9.115922
EnBW Trading GmbH,individual,Sonstiges,190.0,11,51.4,317,Herne,Hard Coal,435.0,51.549201,7.18396
EnBW Trading GmbH,individual,Sonstiges,190.0,12,51.4,665,Fenne,Hard Coal,390.0,49.248932499999995,6.8809705
EnBW Trading GmbH,individual,Sonstiges,190.0,13,51.4,721,Irsching,Natural Gas,1722.0,48.767533,11.580019
EnBW Trading GmbH,individual,Sonstiges,190.0,14,51.4,1117,Gud Herne,Natural Gas,657.0,51.5489,7.18335
EnBW Trading GmbH,individual,Sonstiges,190.0,15,51.4,1163,Hafen,Hard Coal,303.0,53.124672,8.726764
EnBW Trading GmbH,individual,Sonstiges,190.0,16,51.4,3315,Irsching,Oil,415.0,48.767533,11.580019
EnBW Trading GmbH,individual,Sonstiges,190.0,17,50.3,29,Waldeck,Hydro,555.0,51.16743333333333,9.046336666666669
EnBW Trading GmbH,individual,Sonstiges,190.0,18,50.0,3423,Dollen Trafo,Solar,134.355,52.99812123076923,12.194403615384614
EnBW Trading GmbH,individual,Sonstiges,190.0,19,50.0,10324,Berlin Klingenberg,Natural Gas,188.0,52.489993,13.495988
EnBW Trading GmbH,individual,Sonstiges,190.0,20,49.9,3435,Industriekraftwerk Eisenhuttenstadt,Natural Gas,176.71,52.163396,14.632419
Mehrum,individual,Konventionell,715.0,1,50.0,264,Weiher,Hard Coal,655.6,49.333966,7.028434
Mehrum,individual,Konventionell,715.0,2,47.1,312,Niederaussem,Lignite,3109.0,50.990677,6.669720000000001
Mehrum,individual,Konventionell,715.0,3,46.6,721,Irsching,Natural Gas,1722.0,48.767533,11.580019
Mehrum,individual,Konventionell,715.0,4,45.0,258,Weissweiler,Lignite,1961.0,50.837339,6.319244
Mehrum,individual,Konventionell,715.0,5,45.0,261,Trianel Kohlekraftwerk Lunen,Hard Coal,746.0,51.612,7.464
Mehrum,individual,Konventionell,715.0,6,45.0,268,Schwarze Pumpe,Lignite,1510.0,51.531359,14.348723
Mehrum,individual,Konventionell,715.0,7,45.0,274,Bergkamen,Hard Coal,720.0,51.636945,7.619083
Mehrum,individual,Konventionell,715.0,8,45.0,697,Moorburg,Hard Coal,1600.0,53.487504,9.949603
Mehrum,individual,Konventionell,715.0,9,45.0,699,Staudinger,Hard Coal,522.0,50.088056,8.952222
Mehrum,individual,Konventionell,715.0,10,45.0,720,Huckingen,Natural Gas,606.0,51.371067,6.719111
Mehrum,individual,Konventionell,715.0,11,45.0,723,Trianel Gaskraftwerk Hamm,Natural Gas,890.0,51.673559,7.9289665
Mehrum,individual,Konventionell,715.0,12,45.0,724,Frimmersdorf,Lignite,562.0,51.052199,6.578014
Mehrum,individual,Konventionell,715.0,13,45.0,1083,Grosskraftwerk Mannheim,Hard Coal,1983.0,49.446975,8.492516
Mehrum,individual,Konventionell,715.0,14,45.0,1130,Staudinger,Natural Gas,580.0,50.088056,8.952222
Mehrum,individual,Konventionell,715.0,15,45.0,1148,Gud Niehl Rheinenergie,Natural Gas,727.0,50.974163,6.988567666666666
Mehrum,individual,Konventionell,715.0,16,45.0,3275,Marbach,Oil,735.9,48.927387499999995,9.231165
Mehrum,individual,Konventionell,715.0,17,45.0,123116,Ready Gtkw Schwarze Pumpe,Natural Gas,850.0,51.519,14.353
Mehrum,individual,Konventionell,715.0,18,42.9,1280,Veltheim,Hard Coal,520.0,52.190082999999994,8.934485
Mehrum,individual,Konventionell,715.0,19,42.9,165496,Mannheim,Hard Coal,2586.0,49.447,8.4925
Mehrum,individual,Konventionell,715.0,20,40.0,314,Rheinhafen Dampfkraftwerk,Hard Coal,1351.0,49.01274,8.304255000000001
Statkraft KW-Pool,individual,Konventionell,1050.0,1,50.7,261,Trianel Kohlekraftwerk Lunen,Hard Coal,746.0,51.612,7.464
Statkraft KW-Pool,individual,Konventionell,1050.0,2,46.6,272,Neurath,Lignite,4211.0,51.037649,6.612286
Statkraft KW-Pool,individual,Konventionell,1050.0,3,45.0,698,Westfalen,Hard Coal,763.7,51.682608,7.969927
Statkraft KW-Pool,individual,Konventionell,1050.0,4,45.0,3275,Marbach,Oil,735.9,48.927387499999995,9.231165
Statkraft KW-Pool,individual,Konventionell,1050.0,5,43.2,723,Trianel Gaskraftwerk Hamm,Natural Gas,890.0,51.673559,7.9289665
Statkraft KW-Pool,individual,Konventionell,1050.0,6,42.8,313,Lippendorf,Lignite,1782.0,51.1769265,12.376704
Statkraft KW-Pool,individual,Konventionell,1050.0,7,42.8,3228,Swd Kwl Gte,Natural Gas,826.4,51.222827,6.731094
Statkraft KW-Pool,individual,Konventionell,1050.0,8,41.5,722,Knapsack,Natural Gas,1326.0,50.858679,6.845286
Statkraft KW-Pool,individual,Konventionell,1050.0,9,40.0,265,Altbach Deizisau,Hard Coal,756.0,48.718902,9.3713815
Statkraft KW-Pool,individual,Konventionell,1050.0,10,38.6,325,Datteln,Hard Coal,1052.0,51.63313,7.34248
Statkraft KW-Pool,individual,Konventionell,1050.0,11,38.6,1156,Franken,Natural Gas,823.0,49.42092,11.00767
Statkraft KW-Pool,individual,Konventionell,1050.0,12,36.0,269,Scholven,Hard Coal,760.0,51.599970000000006,7.00565
Statkraft KW-Pool,individual,Konventionell,1050.0,13,36.0,270,Schkopau,Lignite,900.0,51.401111,11.950833
Statkraft KW-Pool,individual,Konventionell,1050.0,14,36.0,1157,Emsland,Natural Gas,1877.0,52.48027,7.305249999999999
Statkraft KW-Pool,individual,Konventionell,1050.0,15,35.7,9263,Altbach Chp,Hard Coal,783.0,48.717185,9.37079
Statkraft KW-Pool,individual,Konventionell,1050.0,16,35.0,318,Heilbronn,Hard Coal,1028.0,49.17505666666667,9.207873333333334
Statkraft KW-Pool,individual,Konventionell,1050.0,17,35.0,1083,Grosskraftwerk Mannheim,Hard Coal,1983.0,49.446975,8.492516
Statkraft KW-Pool,individual,Konventionell,1050.0,18,33.3,314,Rheinhafen Dampfkraftwerk,Hard Coal,1351.0,49.01274,8.304255000000001
Statkraft KW-Pool,individual,Konventionell,1050.0,19,32.7,697,Moorburg,Hard Coal,1600.0,53.487504,9.949603
Statkraft KW-Pool,individual,Konventionell,1050.0,20,32.3,268,Schwarze Pumpe,Lignite,1510.0,51.531359,14.348723
EGC KW-Pool,individual,Konventionell,313.0,1,43.2,3228,Swd Kwl Gte,Natural Gas,826.4,51.222827,6.731094
EGC KW-Pool,individual,Konventionell,313.0,2,40.9,261,Trianel Kohlekraftwerk Lunen,Hard Coal,746.0,51.612,7.464
EGC KW-Pool,individual,Konventionell,313.0,3,40.7,1282,Werdohl Elverlingsen,Hard Coal,530.0,51.275736,7.707286
EGC KW-Pool,individual,Konventionell,313.0,4,40.0,257,Zolling,Hard Coal,472.0,48.455489,11.796122
