betroffene_anlage,location,matched_id,id_source,n_members,total_mw,method,confidence,lat,lon
SHN Cluster Husum Nord,husum,"134093,148461,57704,57705,60295,67737,77395",index,7,9.8,cluster_name,high,54.48,9.0524
AVA Cluster Alfstedt,alfstedt,"102440,156245,159940,27710,67349",index,5,93.8,cluster_name,high,53.5923,8.8565
SHN Cluster Handewitt T412 T413,handewitt,"111313,118369,130642,147499,147501,30036,57658,69875,73729,73730,73732,73733,73734,73746,84475,96289",index,16,87.7,cluster_name,high,54.748,9.3252
SHN Cluster Handewitt T411,handewitt,"111313,118369,130642,147499,147501,30036,57658,69875,73729,73730,73732,73733,73734,73746,84475,96289",index,16,87.7,cluster_name,high,54.748,9.3252
SHN Cluster Kiel Süd,kiel,"104899,130163,27012,28420,30125,31441,54280,57717,57719,66311,77534,80390,92342",index,13,3.2,cluster_name,high,54.3256,10.1437
SHN Cluster Handewitt T414 T415,handewitt,"111313,118369,130642,147499,147501,30036,57658,69875,73729,73730,73732,73733,73734,73746,84475,96289",index,16,87.7,cluster_name,high,54.748,9.3252
AVA Cluster Sottrum T411 T413,sottrum,"121192,132868,4572",index,3,4.3,cluster_name,high,53.1102,9.2078
AVA Cluster Elsen,elsen,136712,index,1,0.3,cluster_name,high,51.616,6.3772
AVA Cluster Twistetal,twistetal,138045,index,1,9.2,cluster_name,high,51.3176,8.9887
AVA Cluster Lehrte,lehrte,"112642,113837,127968,160093,30221,62917,63205,69325,69326,84158,84286,84293",index,12,32.6,cluster_name,high,52.3694,10.0044
BAG NWAK-Cluster 15 Pleinting,pleinting,"113928,56018,97987",index,3,1.2,cluster_name,high,48.6685,13.1066
BAG NWAK-Cluster 16 Regensburg-Sittling,regensburg sittling,"102648,106562,114074,114152,120539,123233,123234,130281,139144,34087,52490,54833,75302,87880,98126",index,15,17.7,cluster_name,high,49.0024,12.1311
AVA Cluster Sottrum T412,sottrum,"121192,132868,4572",index,3,4.3,cluster_name,high,53.1102,9.2078
SHN Cluster Schuby West,schuby,"127206,127208,161951,46232",index,4,16.9,cluster_name,high,54.5099,9.4379
SHN Cluster Audorf Süd,audorf,"141129,156492,31108,34489",index,4,2.3,cluster_name,high,52.709,11.1043
SHN Cluster Kummerfeld,kummerfeld,"112263,112264,82323",index,3,1.1,cluster_name,high,53.6973,9.7909
AVA Cluster Helmstedt,helmstedt,"109238,118476,147792,75142,75149,75150",index,6,31.8,cluster_name,high,52.2266,10.9933
AVA Cluster Dollern,dollern,58940,index,1,0.6,cluster_name,high,53.531,9.5484
SHN Cluster Wilster West,wilster,"143269,143270,143271,4681",index,4,7.5,cluster_name,high,53.9191,9.363
BAG NWAK-Cluster 03 Bergrheinfeld-Schweinfurt,bergrheinfeld schweinfurt,"102837,106879,108271,108647,108648,112281,112775,127569,127570,127571,128206,129281,3920,64276,67462,85409,92096,92328,97179,97425",index,20,13.1,cluster_name,high,50.0289,10.2157
BAG NWAK-Cluster 14 Schwandorf,schwandorf,"113771,127407,127408,132097,132104,136881,142451,48574,64275,77999,96903",index,11,5.0,cluster_name,high,49.3099,12.1118
BAG NWAK-Cluster 04 Aschaffenburg,aschaffenburg,"102567,107954,114648,116439,30923,30925,30926,47582,59182,60232,63933",index,11,3.9,cluster_name,high,49.9734,9.1277
BAG NWAK-Cluster 12 Pirach-Simbach,pirach simbach,"121113,3313,72797",index,3,104.5,cluster_name,high,48.2701,12.9924
BAG NWAK-Cluster 06 Raitersaich,raitersaich,143810,index,1,0.6,cluster_name,high,49.3686,10.8538
SHN Cluster Jardelund,jardelund,"159438,78581",index,2,39.9,cluster_name,high,54.853,9.2121
SHN Cluster Hamburg Nord,hamburg,"104406,104803,106614,109044,110383,111300,111843,114069,115241,118353,118354,118355,118356,127726,131377,135017,137791,43713,43714,43718,43720,43727,43728,48546,48548,52252,55321,57645,57646,57647,57648,57649,57650,57651,57652,57653,60283,67335,68457,70246,72407,73655,73656,73657,73661,73662,73663,73664,73666,76902,80789,84742,88528,97276,98123",index,55,47.9,cluster_name,high,53.5234,10.0539
SHN Cluster Itzehoe West,itzehoe,"118741,118742,124482,128521,30104,57711,60301,68436,78433",index,9,2.4,cluster_name,high,53.9284,9.502
AVA Cluster Emden Borssum,emden borssum,"125938,126162,128131,139694,141200,145172,157837,3306,51187,52544,54823,57584,61133,61134,61135",index,15,56.4,cluster_name,high,53.3557,7.1588
BAG NWAK-Cluster 09 Marienberg,marienberg,"125976,132854,57772,86575,86577,86578,89353,89354",index,8,3.3,cluster_name,high,50.6527,13.1812
CROC Cluster Parchim Süd,parchim,"108182,116636,128766,138244,151155,151158,151160,151161,151162,151163,151164,151165,151166,151167,151168,34105,92665,95297,95298",index,19,91.2,cluster_name,high,53.4259,11.8765
AVA Cluster Landesbergen,landesbergen,"104505,83690,83694,83700,83703,84056",index,6,27.3,cluster_name,high,52.5633,9.1346
AVA Cluster Emden Ost,emden,"125938,126162,128131,139694,141200,157837,3306,51187,52544,54823,57584,61133,61134,61135",index,14,37.8,cluster_name,high,53.3559,7.152
