betroffene_anlage,primaerenergieart,energy_conflict,max_dispatched_mw,tsos,n_events,entry_type,name_technology
Börse,Sonstiges,True,2700.0,"50Hertz,Amprion,TenneT DE,TransnetBW",11756,countertrade,
NIEDERAUSSEM_K,Konventionell,False,769.0,Amprion,607,individual,
Rheinhafen-Dampfkraftwerk Karlsruhe Block 7,Konventionell,False,500.0,TransnetBW,859,individual,
NEURATH_F,Konventionell,False,980.0,Amprion,346,individual,
NEURATH_G,Konventionell,False,1006.0,Amprion,378,individual,
VOELKLINGEN_MKV,Konventionell,False,175.0,Amprion,33,individual,
NEURATH_D,Konventionell,False,600.0,Amprion,187,individual,
NIEDERAUSSEM_C,Konventionell,False,120.0,Amprion,8,individual,
NEURATH_E,Konventionell,False,604.0,Amprion,131,individual,
Rostock Kohlekraftwerk,Konventionell,False,510.0,50Hertz,361,individual,
Heizkraftwerk Altbach/Deizisau Block 2,Konventionell,False,300.0,TransnetBW,941,individual,
Grohnde,Konventionell,False,404.0,TenneT DE,206,individual,
Grosskraftwerk Mannheim,Konventionell,False,264.0,TransnetBW,27,individual,
Vorarlberger Ilwerke,Sonstiges,False,1624.0,TransnetBW,2677,foreign,
Brokdorf,Konventionell,False,480.0,TenneT DE,307,individual,
Heizkraftwerk Heilbronn Block 7,Konventionell,False,750.0,TransnetBW,679,individual,
Boxberg (Standort),Konventionell,False,1081.0,50Hertz,1785,individual,
Jänschwalde (Standort),Konventionell,False,864.0,50Hertz,1631,individual,
Lippendorf EnBW,Konventionell,False,694.0,50Hertz,699,individual,
Schwarze Pumpe (Standort),Konventionell,False,940.0,50Hertz,2077,individual,
KMW_KW3,Konventionell,False,425.0,Amprion,450,individual,
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4,Konventionell,False,350.0,TransnetBW,509,individual,
Reservekraftwerk Walheim Block 1,Konventionell,False,96.0,TransnetBW,148,individual,
WEIHER_C,Konventionell,False,500.0,Amprion,16,individual,
Reservekraftwerk Heilbronn Block 5,Konventionell,False,125.0,TransnetBW,213,individual,
BEXBACH_1,Konventionell,False,550.0,Amprion,49,individual,
Reservekraftwerk Walheim Block 2,Konventionell,False,145.0,TransnetBW,238,individual,
Reservekraftwerk Altbach/Deizisau Block 1,Konventionell,False,410.0,TransnetBW,496,individual,
Reservekraftwerk Heilbronn Block 6,Konventionell,False,125.0,TransnetBW,230,individual,
Wilhelmshaven (ENGIE),Konventionell,False,725.0,TenneT DE,1055,individual,
Lippendorf VE,Konventionell,False,612.0,50Hertz,1104,individual,
Farge,Konventionell,False,350.0,TenneT DE,353,individual,
NIEDERAUSSEM_G,Konventionell,False,628.0,Amprion,601,individual,
Wilhelmshaven (Uniper),Konventionell,False,757.0,TenneT DE,105,individual,
WEISWEILER_VGTG3,Konventionell,False,210.0,Amprion,92,individual,
Staudinger 5,Konventionell,False,522.0,TenneT DE,521,individual,
Mehrum,Konventionell,False,690.0,TenneT DE,182,individual,
VOELKLINGEN_HKV,Konventionell,False,190.0,Amprion,70,individual,
ReserveKW Heyden,Konventionell,False,865.0,TenneT DE,335,individual,
NIEDERAUSSEM_H,Konventionell,False,632.0,Amprion,319,individual,
HERNE_4,Konventionell,False,440.0,Amprion,132,individual,
EMSLAND_DTC0,Konventionell,False,468.0,Amprion,34,individual,
GTKW-DA-GT11,Konventionell,False,90.0,Amprion,14,individual,
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,Konventionell,False,830.0,TransnetBW,1335,individual,
Isar 2 (Uniper),Konventionell,False,345.0,TenneT DE,276,individual,
Vianden M5-M9,Sonstiges,False,300.0,Amprion,1,foreign,
Gebersdorf 2,Konventionell,False,440.0,TenneT DE,109,individual,
Zolling 5,Konventionell,False,464.0,TenneT DE,570,individual,
WEISWEILER_G,Konventionell,False,650.0,Amprion,503,individual,
Gebersdorf 1,Konventionell,False,383.0,TenneT DE,68,individual,
Irsching 5,Konventionell,False,830.0,TenneT DE,840,individual,
Schkopau VE,Konventionell,False,350.0,50Hertz,13,individual,
GERSTEINW_GTG1,Konventionell,False,42.0,Amprion,22,individual,
GERSTEINW_DTG2,Konventionell,False,313.0,Amprion,18,individual,
NEURATH_B,Konventionell,False,150.0,Amprion,27,individual,
WESTFALEN_E,Konventionell,False,780.0,Amprion,32,individual,
HAMMUENTROP_20,Konventionell,False,450.0,Amprion,594,individual,
Thyrow C (KapRes),Konventionell,False,35.0,50Hertz,9,individual,
Thyrow D (KapRes),Konventionell,False,35.0,50Hertz,8,individual,
HKW_ROEMER_KW,Konventionell,False,42.0,Amprion,23,individual,
BASF-GESAMTEINSPEISG,Konventionell,False,150.0,Amprion,20,individual,
ReserveKW Irsching 3,Konventionell,False,375.0,TenneT DE,10,individual,
Pumpspeicherwerk Schluchseegruppe Häusern/Waldshut/Witznau RZ TNG,Sonstiges,False,335.0,TransnetBW,28,individual,
Reservekraftwerk Marbach GT 3,Konventionell,False,85.0,TransnetBW,174,individual,
Reservekraftwerk Marbach DT 3,Konventionell,False,262.0,TransnetBW,108,individual,
KNAPSACK_20,Konventionell,False,450.0,Amprion,446,individual,
EMSLAND_DTB0,Konventionell,False,423.0,Amprion,11,individual,
HAMMUENTROP_10,Konventionell,False,445.0,Amprion,442,individual,
WALSUM_10,Konventionell,False,708.0,Amprion,406,individual,
IBBENBUEREN_B,Konventionell,False,635.0,Amprion,7,individual,
Thyrow A (KapRes),Konventionell,False,35.0,50Hertz,7,individual,
Emden 4 GT (KapRes),Konventionell,False,50.0,TenneT DE,37,individual,
Thyrow B (KapRes),Konventionell,False,35.0,50Hertz,8,individual,
GERSTEINW_GTF1,Konventionell,False,42.0,Amprion,17,individual,
GERSTEINW_DTF2,Konventionell,False,340.0,Amprion,17,individual,
Emsland Block B,Konventionell,False,480.0,Amprion,518,individual,
NIEHL-31-GUD,Konventionell,False,428.0,Amprion,727,individual,
LAUSWARD_AGUD,Konventionell,False,90.0,Amprion,13,individual,
HERDECKE_H6,Konventionell,False,418.0,Amprion,322,individual,
