betroffene_anlage,entry_type,matched_id,id_source,method,matched_name
50H Berlin Mitte,individual,10325,index,exact,Berlin Mitte
50H Rostock Marienehe,individual,3276,index,exact,Rostock Marienehe
Schwarze Pumpe (Standort),individual,268,index,exact,Schwarze Pumpe
WALSUM_10,individual,320,index,exact,Walsum
WEISWEILER_G,individual,258,index,exact,Weissweiler
NEURATH_G,individual,272,index,exact,Neurath
Irsching 4,individual,721,index,exact,Irsching
WEISWEILER_H,individual,258,index,exact,Weissweiler
Irsching 6 (bnBm),individual,721,index,exact,Irsching
Datteln_4,individual,325,index,exact,Datteln
Itzehoe,individual,8609,index,exact,Gasturbinenkraftwerk Itzehoe
WP Jardelund,individual,159438,index,exact,Wp Jardelund
NEURATH_F,individual,272,index,exact,Neurath
Eltmann,individual,3304,index,exact,Eltmann
Reisach,individual,123395,index,exact,Reisach
HUCKINGEN_B,individual,720,index,exact,Huckingen
Obernburg,individual,3317,index,exact,Sammelschienen Gas Und Dampfturbinen
WP_GREVENBROICH,individual,158549,index,exact,Wp Grevenbroich
HUCKINGEN_A,individual,720,index,exact,Huckingen
Heizkraftwerk Altbach/Deizisau GT B,individual,27867,index,exact,Altbach Deizisau
Heizkraftwerk Altbach/Deizisau GT C,individual,27867,index,exact,Altbach Deizisau
Burghausen,individual,53946,index,exact,Burghausen
50H Bernburg,individual,33616,index,exact,Bernburg
BATTERIESPEICHER_NEURATH,individual,4707,index,exact,Batteriespeicher Neurath
50H Chemnitz,individual,55231,index,exact,Chemnitz
Lippendorf,individual,313,index,exact,Lippendorf
HKW Aalen,individual,4987,index,exact,Aalen
