betroffene_anlage,primaerenergieart,entry_type,name_technology,matched_id,id_source,method,confidence,needs_review,matched_name,fueltype,capacity_mw,lat,lon,coord_source,mastr_ids,opsd_ids,eic_ids,reasoning,coord_check,check_km
"Jänschwalde, Schkopau",Konventionell,multi_plant,,"315,270",index,multi_plant,high,no,Janschwalde + Schkopau,Lignite,3900.0,51.6185,13.2021,index,"SEE923943268279,SEE938669585906,SEE947677200282,SEE960652233358,SEE964729462818,SEE985047526785,SEE989591633753,SEE991817093418","BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879"," nan, nan},11WD8JAEN1L----Z,11WD8SCHK1L----O,{nan",multi-plant entry: 2/2 listed plants matched,,
EnBW Trading GmbH,Sonstiges,individual,,,,llm,none,yes,,,,,,none,,,,"Generic trading entity name, not a specific plant.",,
Mehrum,Konventionell,individual,,271,index,wikipedia,low,yes,Kwm,Hard Coal,690.0,52.312557,10.090632,index,SEE904194792843,BNA0464,11WD2MEHR2CSWH-O,Wikipedia (Mehrum) coord → nearest plant within 1 km,confirmed,9.0
Statkraft KW-Pool,Konventionell,individual,,,,llm,none,yes,,,,,,none,,,,Generic pool name without specific plant identification.,,
EGC KW-Pool,Konventionell,individual,,,,llm,none,yes,,,,,,none,,,,Generic pool name without specific plant identification.,,
Waldeck 5,Sonstiges,individual,,29,index,llm,high,no,Waldeck,Hydro,555.0,51.16743333333333,9.046336666666669,index,"SEE933021962319,SEE996080766151,SEE998534788504","BNA0228,BNA0229","11WD2W2--0002757,{nan, nan, nan}","Waldeck 5 is a block of the Waldeck pumped-storage plant, matching id=29 Waldeck.",confirmed,14.2
Kiel,Konventionell,individual,,2681,index,llm,high,no,Kiel Phase,Hard Coal,354.0,54.338671,10.176885,index,,BNA0526,,Matches Gemeinschaftskraftwerk Kiel (Kiel Phase) directly by name.,confirmed,3.7
Irsching 5,Konventionell,individual,,721,index,llm,high,no,Irsching,Natural Gas,1722.0,48.767533,11.580019,index,"SEE915883553447,SEE948129095272,SEE924780675428,SEE973737205324,SEE915432109163","BNA0995,BNA0994","11WD2IRSC000179N,{nan, nan, nan, nan, nan}",Irsching gas plant matches block 5 designation and fuel type.,confirmed,5.7
"Boxberg, Jänschwalde, Lippendorf, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"323,315,313,270,268",index,multi_plant,high,no,Boxberg + Janschwalde + Lippendorf + Schkopau + Schwarze Pumpe,Lignite,9662.0,51.4717,13.5386,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938337436349,SEE938669585906,SEE947677200282,SEE952672318108,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 5/5 listed plants matched,,
Waldeck 6,Sonstiges,individual,,29,index,llm,high,no,Waldeck,Hydro,555.0,51.16743333333333,9.046336666666669,index,"SEE933021962319,SEE996080766151,SEE998534788504","BNA0228,BNA0229","11WD2W2--0002757,{nan, nan, nan}",Waldeck hydro plant matches the block 6 designation of the Waldeck pumped-storage complex.,confirmed,14.2
Schkopau,Konventionell,individual,,270,index,llm,high,no,Schkopau,Lignite,900.0,51.401111,11.950833,index,"SEE960652233358,SEE947677200282","BNA0879,BNA0878","11WD8SCHK1L----O,{nan, nan}","Exact name match with the Schkopau lignite plant, id=270.",confirmed,24.4
Ingolstadt 4,Konventionell,individual,,8622,index,exact,high,no,Ingolstadt,Oil,720.0,48.761882,11.50246,index,"SEE950675787617,SEE983645175053","BNA0378,BNA0379","{nan, nan}",exact name match,confirmed,6.3
EnBW KW-Pool,Sonstiges,individual,,,,llm,none,yes,,,,,,none,,,,Generic pool name without specific plant identification.,,
Wilhelmshaven,Konventionell,individual,,742,index,llm,medium,no,Wilhelmshaven,Hard Coal,1581.0,53.56808,8.142918,index,"SEE977258693776,SEE970425279599,SEE907162822238","BNA1674,BNA1061","11WD2WILK000286V,{nan, nan, nan}",Matches the main Kraftwerk Wilhelmshaven hard coal plant by name; larger capacity variant chosen over the smaller on-site unit.,confirmed,3.9
Huntorf,Konventionell,individual,,738,index,llm,high,no,Luftspeicher Gasturbinenkraftwerk Huntorf,Natural Gas,321.0,53.195932,8.388178,index,SEE974201537415,BNA0239,11WD2HUKW000298J,Direct match to the Huntorf compressed air gas turbine plant.,confirmed,16.4
Staudinger 5,Konventionell,individual,,699,index,exact,high,no,Staudinger,Hard Coal,522.0,50.088056,8.952222,index,SEE929161243203,"BNA0375,BNA0376,BNA0377",,exact name match,disagree,44.8
Vorarlberger Illwerke AG,Sonstiges,foreign,,,,,,no,,,,47.2,10.0,geocode,,,,,,
Kraftwerk Lippendorf,Konventionell,individual,,313,index,llm,high,no,Lippendorf,Lignite,1782.0,51.1769265,12.376704,index,"SEE966331411864,SEE998199911088","BNA0116,BNA0115","11WD8LIPD1L----P,{nan, nan}",Direct name match to Braunkohlekraftwerk Lippendorf.,disagree,49.5
Heizkraftwerk Altbach/Deizisau,Konventionell,individual,,265,index,llm,high,no,Altbach Deizisau,Hard Coal,756.0,48.718902,9.3713815,index,"SEE944503176377,SEE965782597448","BNA0019,BNA0020","11WD4AL1KU1-S--E,{nan, nan}",Exact name match with the Altbach Deizisau hard coal CHP plant.,confirmed,10.1
